,Country,case,Criminel,Victimes,Périodes,Condamnation,Peine,Notes,begining,End,name
0,Afrique du Sud,  Asande Baninzi  (1983-) (au moins 14 victimes). ,  Asande Baninzi  ,au moins 14 victimes,,,,,,,South Africa
1,Afrique du Sud,  Elias Chauke  (5 victimes). ,  Elias Chauke  ,5 victimes,,,,,,,South Africa
2,Afrique du Sud,  Sibusiso Duma  (1984-) (7 victimes) en 2007. ,  Sibusiso Duma  ,7 victimes,,,,,,,South Africa
3,Afrique du Sud,  Gamal Salie Lineveldt  (4 victimes). ,  Gamal Salie Lineveldt  ,4 victimes,,,,,,,South Africa
4,Afrique du Sud,  Maoupa Cedric Maake  (de 27 à 35 victimes) entre 1996 et 1997. « Le tueur de Wemmer Pan ». ,  Maoupa Cedric Maake  ,de 27 à 35 victimes,,,,,,,South Africa
5,Afrique du Sud,  Bulelani Mabhayi    (af)   (1974-) (20 victimes) entre 2007 et 2012. « Le monstre de Tholeni ». ,  Bulelani Mabhayi    ,20 victimes,,,,,,,South Africa
6,Afrique du Sud,  Jimmy Maketta  (16 victimes) en 2005. ,  Jimmy Maketta  ,16 victimes,,,,,,,South Africa
7,Afrique du Sud,  Johannes Mashiane    (en)   (13 victimes) entre 1982 et 1989. « La bête d' Atteridgeville  ». ,  Johannes Mashiane    ,13 victimes,,,,,,,South Africa
8,Afrique du Sud,  Lazarus Mazingane  (16 ou 17 victimes). « Le tueur en série de Nasrec ». ,  Lazarus Mazingane  ,16 ou 17 victimes,,,,,,,South Africa
9,Afrique du Sud,  Daisy de Melker  (1886-1932) (3 victimes) entre 1923 et 1932. Infirmière empoisonneuse. Condamnée à mort et pendue. ,  Daisy de Melker  ,3 victimes,,,,,,,South Africa
10,Afrique du Sud,  Samuel Bongani Mfeka  (au moins 6 victimes). ,  Samuel Bongani Mfeka  ,au moins 6 victimes,,,,,,,South Africa
11,Afrique du Sud,  David Mmbengwa  (7 victimes). ,  David Mmbengwa  ,7 victimes,,,,,,,South Africa
12,Afrique du Sud,  Jack Mogale    (en)   (16 victimes) entre 2008 et 2009. « Le tueur en série de West-End ». ,  Jack Mogale    ,16 victimes,,,,,,,South Africa
13,Afrique du Sud,  Moses Mokgethi  (6 victimes). ,  Moses Mokgethi  ,6 victimes,,,,,,,South Africa
14,Afrique du Sud,  Elifasi Msomi    (en)   (15 victimes) entre 1953 et 1955. « Le tueur à la hache ». ,  Elifasi Msomi    ,15 victimes,,,,,,,South Africa
15,Afrique du Sud,  Nicholas Lungisa Ncama    (en)   (1968-) (3 à 6 victimes) en 1997. Violeur étrangleur. ,  Nicholas Lungisa Ncama    ,3 à 6 victimes,,,,,,,South Africa
16,Afrique du Sud,  Velaphi Ndlangamandla    (en)   (1966-) 19 victimes en 1998. « Le saloon killer ». ,  Velaphi Ndlangamandla    ,1966-,,,,,,,South Africa
17,Afrique du Sud,  Sello Alphred Phalane  (5 victimes). ,  Sello Alphred Phalane  ,5 victimes,,,,,,,South Africa
18,Afrique du Sud,  David Randitsheni    (en)   (au moins 10 victimes) entre 2004 et 2008. ,  David Randitsheni    ,au moins 10 victimes,,,,,,,South Africa
19,Afrique du Sud,  David Selepe  (6 ou 7 victimes). ,  David Selepe  ,6 ou 7 victimes,,,,,,,South Africa
20,Afrique du Sud,  Samuel Sidyno    (en)   (1962-) (7 victimes) entre 1998 et 1999. « Le tueur en série de Capital Park ». ,  Samuel Sidyno    ,7 victimes,,,,,,,South Africa
21,Afrique du Sud,  Norman Afzal Simons  (22 victimes) entre 1986 et 1994. « L'étrangleur de la gare ». ,  Norman Afzal Simons  ,22 victimes,,,,,,,South Africa
22,Afrique du Sud,  Moses Sithole  (1964-) (38 victimes). Auteur des « meurtres ABC ». ,  Moses Sithole  ,38 victimes,,,,,,,South Africa
23,Afrique du Sud,  Thozamile Taki    (en)   (13 victimes) « Le tueur en série de la canne à sucre ». ,  Thozamile Taki    ,13 victimes,,,,,,,South Africa
24,Afrique du Sud,  Sipho Thwala  (1968-) (19 victimes) entre 1994 et 1997. « L'étrangleur de Phoenix ». ,  Sipho Thwala  ,19 victimes,,,,,,,South Africa
25,Afrique du Sud,  Gert van Rooyen  (1938-1990) et  Joey Haarhoff  (au moins 6 victimes) entre 1988 et 1989. ,  Gert van Rooyen  ,au moins 6 victimes,,,,,,,South Africa
26,Afrique du Sud,  Louis van Schoor  et Sabrina van Schoor (40 victimes). ,  Louis van Schoor  et Sabrina van Schoor ,40 victimes,,,,,,,South Africa
27,Afrique du Sud,  Stewart Wilken  (1966-) (+9/10 victimes)   [ 1 ]    entre 1990 et 1997. « Boetie Boer ». ,  Stewart Wilken  ,+9/10 victimes,,,,,,,South Africa
28,Afrique du Sud,  Elias Xitavhudzi  (?-1960) (16 victimes) entre 1950 et 1959. « Pangaman ». ,  Elias Xitavhudzi  ,16 victimes,,,,,,,South Africa
29,Afrique du Sud,  Christopher Mhlengwa Zikode  (18 victimes) entre 1994 et 1995. « Le tueur en série de Donnybrook ». ,  Christopher Mhlengwa Zikode  ,18 victimes,,,,,,,South Africa
30,Allemagne,"  Wolfgang Abel    (de)   (1959-) (28 victimes) de 1977 à 1984. « Ludwig », complice de Marco Furlan en Italie. ",  Wolfgang Abel    ,28 victimes,,,,,,,Germany
31,Allemagne,  Jürgen Bartsch  (1946-1976) (4 victimes). ,  Jürgen Bartsch  ,4 victimes,,,,,,,Germany
32,Allemagne,  Irène Becker  (5 victimes). Infirmière. ,  Irène Becker  ,5 victimes,,,,,,,Germany
33,Allemagne,  Horst David    (de)   (1938-) (7 victimes). ,  Horst David    ,7 victimes,,,,,,,Germany
34,Allemagne,  Olaf Däter    (de)   (1969-) (5 victimes). ,  Olaf Däter    ,5 victimes,,,,,,,Germany
35,Allemagne,  Karl Denke  (1870-1924) (au moins 40 victimes). ,  Karl Denke  ,au moins 40 victimes,,,,,,,Germany
36,Allemagne,  Hermann Duft et Hans Wilhelm Bassenauer    (en)   (1938-1969) (6 victimes) en 1969 en Grèce. ,  Hermann Duft et Hans Wilhelm Bassenauer    ,6 victimes,,,,,,,Germany
37,Allemagne,"  Volker Eckert  (1959-2007) (13 à plus de 19 victimes) en  France ,  Allemagne  et  Espagne . Arrêté en 2006   [ 2 ]   . ",  Volker Eckert  ,13 à plus de 19 victimes,,,,,,,Germany
38,Allemagne," Peter Franz (3 victimes) Une femme, une petite fille de 12 ans en 1993 et une petite fille de 9 ans en France en 1994. ", Peter Franz ,3 victimes,,,,,,,Germany
39,Allemagne,  Christman Genipperteinga  (   16  e   siècle ) (964 victimes). ,  Christman Genipperteinga  ,964 victimes,,,,,,,Germany
40,Allemagne,  Gesche Gottfried  (1785-1831) (15 victimes) entre 1813 et 1827. Empoisonneuse. ,  Gesche Gottfried  ,15 victimes,,,,,,,Germany
41,Allemagne,  Carl Großmann  (1863-1921) (au moins 26 à 50 victimes). ,  Carl Großmann  ,au moins 26 à 50 victimes,,,,,,,Germany
